Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Standardized_Strain,Unique_Chemicals,Unique_Strains,Final Count,Unnamed: 30,Unnamed: 31,Scaffold
CHEMBL2035998,,,315.54,0.0,4.54,17,CCCCCCCCCCCCC[C@H](O)C[C@H](O)C(C)(C)N,IC50,'=',4700.0,nM,5.327902142,,,UO_0000065,0,CHEMBL2039532,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting in presence of BSA,W2,,,,,,
CHEMBL2036000,,,329.57,0.0,4.8,21,CCCCCCCCCCCCC[C@H](O)C[C@H](O)C(C)(C)NC,IC50,'=',250.0,nM,6.602059991,,,UO_0000065,0,CHEMBL2039532,organism-based format,,CHEMBL2034950,1,Scientific Literature,ACS Med Chem Lett,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum W2 infected in O-positive human RBC assessed as [3H]-hypoxanthine incorporation after 48 hrs by scintillation counting in presence of BSA,W2,,,,,,
CHEMBL75215,,,301.47,0.0,3.76,14,CC(C)=CCCC(C)CCN(CCO)COOC(C)(C)C,IC50,'=',3200.0,nM,5.494850022,,,,0,CHEMBL762022,organism-based format,,CHEMBL1133927,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro schizont maturation inhibition for chloroquine-sensitive Plasmodium falciparum FJB D9,FJB D9,,,,,,
CHEMBL1091437,,,328.37,0.0,0.2,10,CCOC(=O)/C=C/C(=O)N[C@@H](CCC(N)=O)C(=O)OC(C)(C)C,IC50,'=',75300.0,nM,4.123205024,,,UO_0000065,0,CHEMBL1105398,organism-based format,,CHEMBL1156268,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against Plasmodium falciparum W2 by flow cytometry,W2,,,,,,
CHEMBL348399,TERT-BUTYL HYDROPEROXIDE,,90.12,0.0,1.27,3,CC(C)(C)OO,IC50,'=',240000.0,nM,3.619788758,Outside typical range,,UO_0000065,0,CHEMBL767876,organism-based format,,CHEMBL1124338,1,Scientific Literature,J Med Chem,,In vivo antimalarial activity against Plasmodium falciparum W-2,W2,,,,,,
CHEMBL1852280,,,432.75,1.0,2.25,39,CCCNC(=S)NCCCNCCCCCCNCCCNC(=S)NCCC,IC50,'=',425.0,nM,6.37161107,,,UO_0000065,0,CHEMBL3599168,organism-based format,,CHEMBL3596171,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against asexual intraerythrocytic ring stage of chloroquine-sensitive Plasmodium falciparum 3D7 infected in human O+ erythrocytes assessed as inhibition of parasitic proliferation after 96 hrs by SYBR Green-1 based fluorescence assay,3D7,,,,,,
CHEMBL3597024,,,272.4,1.0,-1.7,56,N=C(N)NCCCNCCCNCCCNC(=N)N,IC50,'=',147000.0,nM,3.832682665,Outside typical range,,UO_0000065,0,CHEMBL3599168,organism-based format,,CHEMBL3596171,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against asexual intraerythrocytic ring stage of chloroquine-sensitive Plasmodium falciparum 3D7 infected in human O+ erythrocytes assessed as inhibition of parasitic proliferation after 96 hrs by SYBR Green-1 based fluorescence assay,3D7,,,,,,
CHEMBL2408797,,,320.46,0.0,0.13,HoPanAm-18,CCSCCNC(=O)CCCNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',169000.0,nM,3.772113295,Outside typical range,,UO_0000065,0,CHEMBL2410784,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis in presence of pantetheinase,3D7,,,,,,
CHEMBL2408815,,,302.42,0.0,0.57,n-PanAm-4,CCCCCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',134000.0,nM,3.872895202,Outside typical range,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408997,,,302.42,0.0,0.57,alpha-PanAm-5,CCCCCCCNC(=O)CNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',46000.0,nM,4.337242168,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408998,,,260.33,0.0,-0.75,alpha-PanAm-9,CC(C)CNC(=O)CNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',18000.0,nM,4.744727495,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408999,,,274.36,0.0,-0.36,alpha-PanAm-11,CC(C)CCNC(=O)CNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',12000.0,nM,4.920818754,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408991,,,330.47,0.0,1.35,HoPanAm-5,CCCCCCCNC(=O)CCCNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',11000.0,nM,4.958607315,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2408988,,,288.39,0.0,0.18,HoPanAm-2,CCCCNC(=O)CCCNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',11000.0,nM,4.958607315,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL2409002,,,292.4,0.0,-0.65,alpha-PanAm-18,CCSCCNC(=O)CNC(=O)[C@H](O)C(C)(C)CO,IC50,'=',10000.0,nM,5.0,,,UO_0000065,0,CHEMBL2410786,organism-based format,,CHEMBL2407032,1,Scientific Literature,ACS Med Chem Lett,,Antiplasmodial activity against intraerythrocytic Plasmodium falciparum 3D7 infected in human erythrocytes in fresh RPMI-1640 culture medium assessed as parasite growth inhibition after 96 hrs by microscopic analysis,3D7,,,,,,
CHEMBL163150,,,176.26,0.0,2.36,2a,COC(C)(C)OOCCC(C)C,IC50,'=',1650.0,nM,5.782516056,,,UO_0000065,0,CHEMBL763541,organism-based format,,CHEMBL1136364,1,Scientific Literature,Bioorg Med Chem Lett,,In vitro antimalarial activity against Plasmodium falciparum FCR3,FcR3,,,,,,
CHEMBL205338,FR-900098,,197.13,0.0,-0.21,FR-900098,CC(=O)N(O)CCCP(=O)(O)O,IC50,'=',180.0,nM,6.744727495,,,UO_0000065,0,CHEMBL860878,organism-based format,,CHEMBL1146140,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum Dd2,Dd2,,,,,,
CHEMBL4206644,,,271.06,0.0,0.46,12b,O=C(N(O)C/C=C/P(=O)([O-])O)C(F)(F)F.[Na+],IC50,'=',113300.0,nM,3.94577009,Outside typical range,,UO_0000065,0,CHEMBL4201411,organism-based format,,CHEMBL4196192,1,Scientific Literature,J Med Chem,,Growth inhibition of Plasmodium falciparum 3D7 asynchronous cultures by PicoGreen dye based assay,3D7,,,,,,
CHEMBL3310175,,,314.43,0.0,0.73,2,C=CC[C@@](C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCCCC,IC50,'=',2400.0,nM,5.619788758,,,UO_0000065,0,CHEMBL3373874,organism-based format,,CHEMBL3352628,1,Scientific Literature,Bioorg Med Chem Lett,,Antimicrobial activity against chloroquine-sensitive Plasmodium falciparum 3D7 ring stage parasite assessed as reduction in parasite proliferation after 96 hrs in presence of 1 uM pantothenate by SYBR Safe DNA gel staining based assay,3D7,,,,,,
CHEMBL4440334,,,395.39,0.0,0.89,28,CCOC(=O)[C@H](C)NP(=O)(CCCC(=O)N(C)O)N[C@@H](C)C(=O)OCC,IC50,'=',5060.0,nM,5.295849483,,,UO_0000065,0,CHEMBL4424188,organism-based format,,CHEMBL4422657,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against chloroquine-resistant Plasmodium falciparum K1 infected in human erythrocytes measured after 72 hrs Malstat/NBT reagent based assay,K1,,,,,,
CHEMBL5430987,,,569.63,3.0,6.78,13m,CCCCCCCCOC(=O)OCOP(=O)(CCCC(=O)N(C)O)OCOC(=O)OCCCCCCCC,IC50,'=',70.0,nM,7.15490196,,,UO_0000065,0,CHEMBL5387098,organism-based format,,CHEMBL5385862,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against asexual blood stage Plasmodium falciparum K1 assessed as inhibition of parasitic growth,K1,,,,,,
CHEMBL3410325,,,411.39,0.0,2.54,1c,CC(C)(C)C(=O)OCOP(=O)(CCCN(O)C=O)OCOC(=O)C(C)(C)C,IC50,'=',1800.0,nM,5.744727495,,,UO_0000065,0,CHEMBL3411608,organism-based format,,CHEMBL3407342,1,Scientific Literature,J Med Chem,,Antiplasmodial activity against blood stage forms of chloroquine-sensitive Plasmodium falciparum D10 incubated for 3 days by HRP2 detection based ELISA method,D10,,,,,,
CHEMBL535406,,,518.49,0.0,2.86,A24,CN(C)/C(=N\C#N)NCCCCCCCCCCCCN/C(=N\C#N)N(C)C.I,IC50,'=',8500.0,nM,5.070581074,,,UO_0000065,0,CHEMBL902564,organism-based format,,CHEMBL1138331,1,Scientific Literature,J Med Chem,,Antimalarial activity against Plasmodium falciparum Nigerian in human erythrocytes after 48 hrs,Nigerian,,,,,,
