Chemical,Count
CHEMBL433599,1
CHEMBL1800839,2
CHEMBL5198709,2
CHEMBL1782670,1
CHEMBL122346,1
CHEMBL1812883,2
CHEMBL1812889,2
CHEMBL1812891,2
CHEMBL1812893,2
CHEMBL1813077,2
CHEMBL1813086,2
CHEMBL1813091,2
CHEMBL1812890,2
CHEMBL1812896,2
CHEMBL3349212,4
CHEMBL3084850,2
CHEMBL1812898,2
CHEMBL1813092,2
CHEMBL3311424,2
CHEMBL3311426,2
CHEMBL416958,4
CHEMBL75215,4
CHEMBL2105763,5
CHEMBL3120276,2
CHEMBL1830991,2
CHEMBL3084477,4
CHEMBL173604,1
CHEMBL3084848,4
CHEMBL138710,3
CHEMBL221234,2
CHEMBL219537,1
CHEMBL86727,2
CHEMBL185072,3
CHEMBL3104738,1
CHEMBL3104737,1
CHEMBL1682709,3
CHEMBL1682710,3
CHEMBL1682712,3
CHEMBL1682713,3
CHEMBL1682716,3
CHEMBL1682720,3
CHEMBL500849,2
CHEMBL446833,2
CHEMBL443598,2
CHEMBL366932,2
CHEMBL183011,3
CHEMBL363224,2
CHEMBL5076594,4
CHEMBL5081590,3
CHEMBL2024429,2
CHEMBL2023837,2
CHEMBL2030009,2
CHEMBL2030024,2
CHEMBL2030054,1
CHEMBL146617,5
CHEMBL50894,3
CHEMBL190592,1
CHEMBL485424,1
CHEMBL519519,1
CHEMBL457429,1
CHEMBL1630203,4
CHEMBL520404,1
CHEMBL487441,2
CHEMBL472162,3
CHEMBL501777,1
CHEMBL467613,1
CHEMBL5007021,5
CHEMBL4888548,4
CHEMBL3115705,2
CHEMBL328218,1
CHEMBL3104863,1
CHEMBL3087891,1
CHEMBL5289093,1
CHEMBL3116032,2
CHEMBL3116047,4
CHEMBL5275743,2
CHEMBL5219819,5
CHEMBL3104741,1
CHEMBL3116046,4
CHEMBL3116043,4
CHEMBL2047177,1
CHEMBL4447874,2
CHEMBL145105,2
CHEMBL2408813,2
CHEMBL2409004,2
CHEMBL2409005,2
CHEMBL2408977,2
CHEMBL4435208,2
CHEMBL460703,1
CHEMBL147639,2
CHEMBL3221795,2
CHEMBL3221791,1
CHEMBL3221789,1
CHEMBL2408423,2
CHEMBL2408418,2
CHEMBL1682256,2
CHEMBL1682254,2
CHEMBL5203862,1
CHEMBL2418404,2
CHEMBL2435444,2
CHEMBL2407845,8
CHEMBL3217247,2
CHEMBL5189097,3
CHEMBL5204577,1
CHEMBL5198348,4
CHEMBL4798032,4
CHEMBL172137,1
CHEMBL5079498,2
CHEMBL5079284,2
CHEMBL5081167,2
CHEMBL5200605,3
CHEMBL367473,1
CHEMBL152392,2
CHEMBL428080,4
CHEMBL153507,6
CHEMBL290585,1
CHEMBL81648,2
CHEMBL2413884,3
CHEMBL2408815,2
CHEMBL2408996,3
CHEMBL242882,1
CHEMBL5282022,5
CHEMBL5269854,1
CHEMBL5279595,1
CHEMBL5272074,1
CHEMBL2114228,8
CHEMBL330261,8
CHEMBL433204,2
CHEMBL330260,8
CHEMBL152251,1
CHEMBL61637,3
CHEMBL1682584,3
CHEMBL508376,1
CHEMBL1951761,4
CHEMBL1951762,2
CHEMBL172,61
CHEMBL2035995,2
CHEMBL471540,1
CHEMBL514347,1
CHEMBL5273155,1
CHEMBL3235662,2
CHEMBL135038,1
CHEMBL3262123,1
CHEMBL2322224,2
CHEMBL3233350,2
CHEMBL142854,4
CHEMBL2041097,1
CHEMBL147867,2
CHEMBL35078,2
CHEMBL4633803,2
CHEMBL1673094,7
CHEMBL3289817,12
CHEMBL3782001,1
CHEMBL3781325,1
CHEMBL3780874,1
CHEMBL3924092,1
CHEMBL326003,2
CHEMBL5308967,3
CHEMBL5265807,3
CHEMBL2017464,1
CHEMBL2016587,1
CHEMBL5310049,4
CHEMBL2024442,2
CHEMBL5308923,4
CHEMBL2017962,1
CHEMBL581785,1
CHEMBL535714,2
CHEMBL427452,14
CHEMBL5286466,2
CHEMBL5271875,2
CHEMBL219478,11
CHEMBL5314209,4
CHEMBL3600536,1
CHEMBL3601852,1
CHEMBL4435954,2
CHEMBL3603968,2
CHEMBL3603975,1
CHEMBL3603978,1
CHEMBL3603982,1
CHEMBL3603957,1
CHEMBL3604112,1
CHEMBL3604111,1
CHEMBL3604109,1
CHEMBL3603999,1
CHEMBL3603998,1
CHEMBL3603990,1
CHEMBL595522,2
CHEMBL2029741,1
CHEMBL608121,2
CHEMBL595762,2
CHEMBL608123,2
CHEMBL596502,2
CHEMBL595633,2
CHEMBL259641,6
CHEMBL596293,2
CHEMBL505314,6
CHEMBL451869,3
CHEMBL4955249,4
CHEMBL560880,1
CHEMBL2041999,2
CHEMBL2041993,2
CHEMBL2041990,2
CHEMBL528966,6
CHEMBL2041986,2
CHEMBL2042184,1
CHEMBL2012822,2
CHEMBL2012831,2
CHEMBL2012947,2
CHEMBL558656,1
CHEMBL562399,1
CHEMBL550731,1
CHEMBL5420501,1
CHEMBL147587,13
CHEMBL90496,5
CHEMBL465824,1
CHEMBL507761,8
CHEMBL428650,4
CHEMBL2368173,4
CHEMBL33458,2
CHEMBL280012,4
CHEMBL273018,1
CHEMBL592162,1
CHEMBL607853,2
CHEMBL539612,2
CHEMBL119,3
