Molecule_ChEMBL_ID,Molecule_Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Potential Duplicate,Assay ChEMBL ID,BAO Label,Assay Cell Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Cell ChEMBL ID,Assay Description,Strains,pIC50,Potency_label,Representative_pIC50,Flag Groups,mol_freq,strain_freq
CHEMBL1928845,,,581.69,1.0,3.34,8f,CCCCOc1c(N[C@@H](CC(C)C)C(=O)NN(Cc2ccccc2)C(=O)/C=C/S(=O)(=O)c2ccccc2)c(=O)c1=O,IC50,'=',1200.0,nM,5.92,,,UO_0000065,0,CHEMBL1930546,organism-based format,,CHEMBL1926620,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum W2 infected in human red blood cells after 48 hrs by flow cytometry,W2,5.92,inactive,5.92,,1,5923
CHEMBL1928842,,,491.57,0.0,1.42,8c,CCCCOc1c(N[C@@H](CC(C)C)C(=O)NNC(=O)/C=C/S(=O)(=O)c2ccccc2)c(=O)c1=O,IC50,'=',2600.0,nM,5.58,,,UO_0000065,0,CHEMBL1930546,organism-based format,,CHEMBL1926620,1,Scientific Literature,Bioorg Med Chem,,Antiplasmodial activity against ring stage Plasmodium falciparum W2 infected in human red blood cells after 48 hrs by flow cytometry,W2,5.59,inactive,5.59,,1,5923
CHEMBL3218314,,,301.39,0.0,3.5,5b,CCCCOc1c(Nc2ccc(C(C)(C)C)cc2)c(=O)c1=O,IC50,'=',2650.0,nM,5.58,,,UO_0000065,0,CHEMBL3224860,organism-based format,,CHEMBL3217701,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant ring stage of Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.58,inactive,5.58,CQR,1,5923
CHEMBL3218313,,,328.41,0.0,3.2,5a,CCCCOc1c(Nc2ccc(N3CCCCC3)cc2)c(=O)c1=O,IC50,'=',3130.0,nM,5.5,,,UO_0000065,0,CHEMBL3224860,organism-based format,,CHEMBL3217701,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against chloroquine-resistant ring stage of Plasmodium falciparum W2 infected in human RBC after 48 hrs by flow cytometric analysis,W2,5.5,inactive,5.5,CQR,1,5923
CHEMBL416373,,,468.55,0.0,4.02,53,CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1,IC50,'=',440.0,nM,6.36,,,UO_0000065,0,CHEMBL767132,organism-based format,,CHEMBL1135602,1,Scientific Literature,J Med Chem,,In vitro antiplasmodial activity (IC50) against Plasmodium falciparum wtTM4/8.2,TM4/8.2,6.36,active,6.36,,1,164
CHEMBL595021,CASSIARIN A BUTYL ETHER,,269.34,0.0,4.48,"1e, Cassiarin A butyl ether",CCCCOc1cc2c3c(nc(C)cc3c1)C=C(C)O2,IC50,'=',3000.0,nM,5.52,,,UO_0000065,0,CHEMBL1069276,organism-based format,,CHEMBL1153093,1,Scientific Literature,Bioorg Med Chem,,Antimalarial activity against chloroquine-resistant Plasmodium falciparum 3D7 by giemsa stain,3D7,5.52,inactive,5.52,CQR,1,7375
CHEMBL4290452,,,470.66,0.0,3.85,80,CCCCOc1cc2nc(N3CCN(C)CC3)nc(NC3CCN(C(C)C)CC3)c2cc1OC,IC50,'=',56.0,nM,7.25,,,UO_0000065,0,CHEMBL4262302,organism-based format,,CHEMBL4261502,1,Scientific Literature,Medchemcomm,,Antiplasmodial activity against Plasmodium falciparum 3D7 after 3 days by SYBR green1 dye based assay,3D7,7.25,active,7.25,,1,7375
CHEMBL1780013,,,599.69,2.0,7.67,MDG 420,CCCCOc1ccc(-c2cc(C(=O)N/N=C(\C=C\c3ccc4c(c3)OCO4)c3ccc(OC)cc3)c3ccccc3n2)cc1,IC50,'=',24000.0,nM,4.62,,,UO_0000065,0,CHEMBL1780853,organism-based format,,CHEMBL1777683,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 infected in RBC assessed as parasite-specific lactate dehydrogenase release,3D7,4.62,inactive,4.62,,1,7375
CHEMBL1289508,,,532.64,2.0,5.01,13l,CCCCOc1ccc(/C=C/C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)Nc2cccc3cccnc23)cc1,IC50,'=',184.0,nM,6.74,,,UO_0000065,0,CHEMBL1293135,organism-based format,,CHEMBL1287677,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against drug-sensitive ring-stage Plasmodium falciparum 3D7 infected in human O+ erythrocytes assessed as inhibition of parasite growth by [3H]hypoxanthine incorporation assay,3D7,6.74,active,6.74,MDS,1,7375
CHEMBL423346,,,546.67,2.0,7.24,3r,CCCCOc1ccc(/C=C/C(=O)Nc2ccc(NC(=O)Cc3ccc(C)cc3)c(C(=O)c3ccccc3)c2)cc1,IC50,'=',1100.0,nM,5.96,,,UO_0000065,0,CHEMBL761721,organism-based format,,CHEMBL1134176,1,Scientific Literature,Bioorg Med Chem Lett,,Inhibitory activity against Plasmodium falciparum Dd2 in erythrocytes,Dd2,5.96,inactive,5.96,,1,3864
CHEMBL138618,,,340.42,0.0,4.78,"15, 2,4-mbc",CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,IC50,'=',8900.0,nM,5.05,,,UO_0000065,0,CHEMBL3614970,organism-based format,,CHEMBL3611995,1,Scientific Literature,Eur J Med Chem,,Anti-parasitic activity against chloroquine-susceptible Plasmodium falciparum 3D7 by [3H] hypoxanthine uptake assay,3D7,5.05,inactive,5.05,CQS,4,7375
CHEMBL138618,,,340.42,0.0,4.78,"15, 2,4-mbc",CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,IC50,'=',14800.0,nM,4.83,,,UO_0000065,0,CHEMBL3614971,assay format,,CHEMBL3611995,1,Scientific Literature,Eur J Med Chem,,Anti-parasitic activity against chloroquine-resistant Plasmodium falciparum Dd2 by [3H] hypoxanthine uptake assay,Dd2,4.83,inactive,4.83,CQR,4,3864
CHEMBL138618,,,340.42,0.0,4.78,55,CCCCOc1ccc(C(=O)/C=C/c2ccc(OC)cc2OC)cc1,IC50,'=',8900.0,nM,5.05,,,UO_0000065,0,CHEMBL923831,organism-based format,,CHEMBL1140598,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against chloroquine-sensitive Plasmodium falciparum 3D7 by [3H]hypoxanthine incorporation,3D7,5.05,inactive,5.05,CQS,4,7375
CHEMBL3289162,,,338.4,0.0,2.59,1l,CCCCOc1ccc(C(=O)NOCCCCCC(=O)NO)cc1,IC50,'=',170.0,nM,6.77,,,UO_0000065,0,CHEMBL3296470,organism-based format,,CHEMBL3286295,1,Scientific Literature,Eur J Med Chem,,Antimalarial activity against asexual blood stage of Plasmodium falciparum 3D7 infected in human serum assessed as [3H]hypoxanthine incorporation incubated for 48 hrs prior to 3H]hypoxanthine addition measured after 24 hrs by liquid scintillation counting analysis,3D7,6.77,active,6.77,,1,7375
CHEMBL1780014,,,536.68,2.0,7.22,MDG 421,CCCCOc1cccc(-c2cc(C(=O)N/N=C(\C)c3cccc(NC(=O)C(C)(C)C)c3)c3ccccc3n2)c1,IC50,'=',3700.0,nM,5.43,,,UO_0000065,0,CHEMBL1780853,organism-based format,,CHEMBL1777683,1,Scientific Literature,Bioorg Med Chem Lett,,Antimalarial activity against Plasmodium falciparum 3D7 infected in RBC assessed as parasite-specific lactate dehydrogenase release,3D7,5.43,inactive,5.43,,1,7375
CHEMBL5275533,,,335.42,0.0,2.09,21,CCCCS(=O)(=O)N1CCC2(CC1)OOC1(CCCC1)OO2,IC50,'=',41.92,nM,7.38,,,UO_0000065,0,CHEMBL5250373,organism-based format,,CHEMBL5247624,1,Scientific Literature,Eur J Med Chem,,Antiplasmodial activity against erythrocytic stage of chloroquine-sensitive Plasmodium falciparum 3D7 assessed as inhibition of parasite growth incubated for 3 days by HRP2-ELISA assay,3D7,7.38,active,7.38,CQS,1,7375
