Scaffold,count
N=C1NC(c2cccc(NC(=O)c3ccccc3)c2)CC(=O)N1C1CCOCC1,19
c1ccc2[nH]ccc2c1,19
O=C(C=Cc1cccc(-c2cccc(C=CC(=O)c3ccccc3)c2)c1)c1ccccc1,19
c1ccc2ncncc2c1,19
c1ccc(-c2c[nH]cc2C(c2ccccc2)n2ccnc2)cc1,19
c1ccc2c(Nc3ccc4ocnc4c3)ccnc2c1,19
O=c1[nH]c2cnc3ccc(-c4cccnc4)cc3c2n1-c1ccccc1,18
c1cnc2c(c1)ccc1c2ccc2cccnc21,18
c1ccc(CNc2ccc3ccncc3c2)cc1,18
C(=Cc1nc2ccccc2[nH]1)c1ccccc1,18
c1cc(C2=NCCN2)ccc1OCCCCCOc1ccc(C2=NCCN2)cc1,18
O=C(c1ccccc1)c1ccccc1NC(=O)C(c1ccccc1)N1CCNCC1,18
O=S(=O)(NCCCN1CCN(CCCNc2ccnc3ccccc23)CC1)c1ccccc1,18
C1=NC=NCN1OCCCSc1ccccc1,18
c1ccc(-c2c[nH]c(CNc3ccnc4ccccc34)n2)cc1,18
c1ccc(C(CCN2CCCCC2)NCCNc2ccnc3ccccc23)cc1,18
c1ccc2nc3c4ccccc4n(CCN4CCCC4)c3cc2c1,18
c1cnc2c(Nc3ccnc4ccnn34)cccc2c1,18
O=C(OCCC1CC2CCCC3CCC4OOC32C(O1)O4)c1ccccc1,18
c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,18
c1c[nH]nn1,18
O=S(=O)(Nc1ccccc1)c1ccc(Nc2ccnc3ncnn23)cc1,18
c1ccc(C(Nc2ccnc3ccccc23)c2ccc(CN3CCNCC3)cc2)cc1,18
c1ccc(NC2CCCC2)cc1,18
c1ccc(C23CCC4CCCCC4(CO2)OO3)cc1,18
O=c1ccn(C2CCCO2)c(=O)[nH]1,18
O=S1(=O)CC2C(OC(COCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)c2ccccc21,18
c1ccc2c(N3CCNCC3)ccnc2c1,18
c1ccc2c(NCCCNCC34CC5CC(CC(C5)C3)C4)ccnc2c1,18
c1ccc(C(c2ccccc2)(c2ccc(CN3CCCC3)cc2)n2ccnc2)cc1,18
O=C1C=CSC1,17
O=C(C=Cc1ccccc1)C=Cc1ccc(OCc2cn(C3COC(n4ccc(=O)[nH]c4=O)C3)nn2)cc1,17
O=C(OCCc1cn(Cc2cncnc2)nn1)c1ccccc1,17
c1ccc2c(c1)[nH]c1c(NC3CCNCC3)c3ccccc3[nH+]c12,17
c1ccc2c(-c3ccncn3)c[nH]c2c1,17
