dataset,smiles,max_tani
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2ccc(OC(F)F)cc2)[C@H](C)[C@@H](O)[C@]1(C)O,0.9009009009009009
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNc2ccnc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O,0.8782608695652174
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNCCCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O,0.9702970297029703
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNCc2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O,0.8828828828828829
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNCc2ccc3ccccc3n2)[C@H](C)[C@@H](O)[C@]1(C)O,0.8240740740740741
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)CCCCc2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O,0.9716981132075472
Sexual,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Cc2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O,0.865979381443299
Sexual,C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,1.0
Sexual,CO[C@@H]1O[C@]2(CF)CC[C@H]3CCCCC31OO2,1.0
Sexual,CO[C@H]1O[C@]2(CF)CC[C@H]3CCCCC31OO2,1.0
Sexual,Cc1nc2cc(OC(F)(F)F)ccc2n1-c1ccc(C(=O)NC2CC2)s1,0.8620689655172413
Sexual,O=C1C(c2ccc(O)cc2)=Nc2ccccc21,0.7586206896551724
Sexual,CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC2(CCCCC2)OO4)[C@@H]2CCC(C(C)CCC(=O)O)[C@@]12C,1.0
Sexual,COc1ccc(C2=Nc3ccc(OC)cc3C2=O)cc1,0.8571428571428571
Sexual,CCNC(=O)CCC(C)C1CC[C@H]2[C@@H]3[C@H](OC(C)=O)C[C@@H]4CC5(CC[C@]4(C)[C@H]3C[C@H](OC(C)=O)[C@]12C)OOC1(CCC(CC)CC1)OO5,0.8933333333333333
Sexual,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0.8125
Sexual,O=C1C=C(CCCCCCCCCC[P+](Cc2ccccc2)(Cc2ccccc2)Cc2ccccc2)C(=O)c2ccccc21,0.6666666666666666
Sexual,CC1=C(CCCCCCCCCC[P+](C2CCCCC2)(C2CCCCC2)C2CCCCC2)C(=O)c2ccccc2C1=O,0.627906976744186
Sexual,Cc1nc2c(F)cccc2n1-c1ccc(C(=O)NC2CC2)s1,0.8076923076923077
Sexual,Cc1nc2c(N(C)C)cccc2n1-c1ccc(C(=O)NC2CC2)s1,0.7777777777777778
Sexual,Cc1cc(F)c2nc(C)n(-c3ccc(C(=O)NC4CC4)s3)c2c1,0.7636363636363637
Sexual,Clc1ccc2c(NC[C@H]3CCCN4CCCC[C@@H]34)ccnc2c1,1.0
Sexual,CNC(=O)c1ccc(-n2cnc3ccccc32)s1,0.7555555555555555
Sexual,O=C(NC1CC1)c1ccc(-n2cnc3ccccc32)s1,0.9111111111111111
Sexual,CCCCNC(=O)c1ccc(-n2cnc3ccccc32)s1,0.8723404255319149
Sexual,COc1cccc2c1nc(C)n2-c1ccc(C(=O)NC2CC2)s1,0.7931034482758621
Sexual,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,0.8571428571428571
Sexual,COc1ccc2c3c1C(=O)C[C@]31c3cc(-c4c(O)cc(OC)c5c4C[C@@H](C)N[C@@H]5C)c4cc(C)cc(OC)c4c3O[C@]1(C)Oc1cc(OC)c3c(c1-2)C[C@@H](C)N(C)[C@@H]3C,0.8144329896907216
Sexual,CCN(CC)Cc1cc(Nc2nc3ccccc3n2Cc2ccc(C#N)cc2)ccc1O,0.8833333333333333
Sexual,CCN(CC)Cc1cccc(Nc2nc3ccccc3n2Cc2ccc(F)cc2)c1O,0.8166666666666667
Sexual,CCN(CC)Cc1ccc(Nc2nc3ccccc3n2Cc2ccc(F)cc2)cc1O,0.8928571428571429
Sexual,CCNCc1cc(Cl)cc(Nc2nc3cc(F)c(F)cc3n2Cc2ccc(C(F)(F)F)cc2)c1O,0.84375
Sexual,O=C1c2c(O)cc(O)cc2O[C@@]2(c3ccc(O)cc3)Oc3cc(O)c4c(c3[C@]12O)O[C@H](c1ccc(O)cc1)CC4,0.4084507042253521
Sexual,CN1CCN(c2ccc3nc(N)n(CC(O)c4ccc(C(F)(F)F)cc4Cl)c3n2)CC1,0.6515151515151515
Sexual,NC1=Nc2ccccc2CN1CC(O)c1ccc(Cl)cc1Cl,0.5
Sexual,Nc1nc2ccc(OCC(F)(F)F)nc2n1CC(O)c1ccc(C(F)(F)F)cc1Cl,0.7580645161290323
Sexual,Cc1cn(CC(O)c2ccc(Cl)cc2Cl)c(N)n1,0.673469387755102
Sexual,COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C,0.6862745098039216
Sexual,O=C(NCCCCCCNc1ccnc2cc(Cl)ccc12)N[C@H]1C(=O)N(C2CCCCC2)[C@H]1/C=C/c1ccccc1,0.9861111111111112
Sexual,CCOC(=O)c1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2,0.4084507042253521
Sexual,Cc1nc(N)n(CC(O)c2ccc(Cl)cc2Cl)c1C,0.6326530612244898
Sexual,N#Cc1ccc2nc(N)n(CC(O)c3cccc(Cl)c3Cl)c2c1,0.75
Sexual,C[C@@H]1CCCCC12OOC1(CCCC[C@@H]1C)OO2,0.5185185185185185
Sexual,CSc1ccc(CCC[C@H]2C(=O)O[C@@H]3O[C@@]4(C)CCC5[C@H](C)CC[C@@H]2[C@]53OO4)cc1,0.8064516129032258
Sexual,CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc(CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCCCC(C)Nc2cc(OC)cc3cccnc23)cc1)[C@H](C)CC,0.9375
Sexual,CO[C@@]1(C(F)(F)F)OC2O[C@]3(C)CCC4[C@H](C)CCC([C@H]1C)[C@@]24OO3,1.0
Sexual,CCC/C=C/C=C/c1nc2cc(OC)ccc2n2cccc12,0.8775510204081632
Sexual,CCCC/C=C/C=C/c1nc2ccccc2n2cccc12,0.8536585365853658
Sexual,COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccc(OCc3ccccn3)cc2c(=O)n1-c1ccc(N)cc1.O=S(=O)(O)O,0.4148936170212766
Sexual,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1.Cl,0.4444444444444444
Sexual,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC.Cl.Cl.Cl.Cl,0.625
Sexual,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,0.38333333333333336
Sexual,Cl.N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccccc1,0.72
Sexual,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,0.29411764705882354
Sexual,CCCCCCCCCC[Si](C)(C)CCC(=O)NC(Cc1ccc(C)cc1)c1ccccc1,0.37681159420289856
Sexual,C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,0.92
Sexual,CN1CCN(C(=O)c2cccc(-c3ccc4ncc(-c5ccc(S(C)(=O)=O)cc5)n4n3)c2)CC1,0.8448275862068966
Sexual,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](OC(C)=O)[C@@H]1[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H]([C@H](C)CCCNCCCNc3ccnc4cc(Cl)ccc34)CC[C@@H]12,0.9767441860465116
Sexual,N#Cc1ncc(Br)c(N(CC2CCCC2)NC(=O)C2CCC3(CC2)OOC2(OO3)C3CC4CC(C3)CC2C4)n1,0.7887323943661971
Sexual,CC(C)CN(NC(=O)C1CCC(=O)CC1)c1nc(C#N)ncc1Br,0.6714285714285714
Sexual,COc1cc(NC(C)CCCN)c2ncccc2c1,0.8775510204081632
