Document ChEMBL ID,year
CHEMBL1148880,2007.0
CHEMBL1926505,2011.0
CHEMBL1140574,2007.0
CHEMBL4118254,2018.0
CHEMBL2401618,2013.0
CHEMBL2407056,2013.0
CHEMBL2046333,2012.0
CHEMBL1629673,2009.0
CHEMBL1944516,2012.0
CHEMBL2375321,2013.0
CHEMBL1933034,2012.0
CHEMBL1153961,2009.0
CHEMBL1926676,2011.0
CHEMBL1926628,2012.0
CHEMBL1926586,2011.0
CHEMBL1926568,2012.0
CHEMBL1240396,2010.0
CHEMBL1155437,2010.0
CHEMBL1938376,2012.0
CHEMBL1137279,2006.0
CHEMBL1926596,2011.0
CHEMBL1177787,2010.0
CHEMBL5223185,2023.0
CHEMBL1177653,2010.0
CHEMBL1150424,2008.0
CHEMBL1142205,2007.0
CHEMBL1153933,2009.0
CHEMBL1153423,2009.0
CHEMBL1156632,2008.0
CHEMBL1150107,2002.0
CHEMBL1150299,2008.0
CHEMBL1153346,2009.0
CHEMBL4673175,2020.0
CHEMBL3603753,2015.0
CHEMBL4007490,2017.0
CHEMBL1139313,2009.0
CHEMBL4834468,2021.0
CHEMBL4364300,2019.0
CHEMBL4411274,2019.0
CHEMBL4382286,2019.0
CHEMBL3992561,2017.0
CHEMBL3832761,
CHEMBL3997803,2017.0
CHEMBL1139001,2006.0
CHEMBL4480402,2019.0
CHEMBL3813673,2016.0
CHEMBL4024765,2017.0
CHEMBL4138228,2018.0
CHEMBL4130364,2017.0
CHEMBL3785001,2016.0
CHEMBL4020729,2017.0
CHEMBL1158758,2005.0
CHEMBL1138479,2009.0
CHEMBL1129389,1996.0
CHEMBL4406897,2019.0
CHEMBL4007393,2017.0
CHEMBL4041542,2017.0
CHEMBL4190314,2017.0
CHEMBL4052706,2017.0
CHEMBL4145611,2018.0
CHEMBL4052668,2017.0
CHEMBL4017499,2017.0
CHEMBL4038319,2017.0
CHEMBL2086373,2012.0
CHEMBL4011605,2017.0
CHEMBL4011606,2017.0
CHEMBL3351948,2014.0
CHEMBL3352368,2014.0
CHEMBL1157479,2008.0
CHEMBL3352628,2014.0
CHEMBL4052633,2017.0
CHEMBL4371072,2019.0
CHEMBL1811834,2011.0
CHEMBL4251712,2018.0
CHEMBL4325930,2018.0
CHEMBL4043297,2018.0
CHEMBL1828516,2011.0
CHEMBL1833875,2011.0
CHEMBL2092589,2012.0
CHEMBL1833836,2011.0
CHEMBL2086283,2012.0
CHEMBL4325862,2019.0
CHEMBL4152256,2018.0
CHEMBL1137178,2004.0
CHEMBL3774384,2015.0
CHEMBL4177676,2017.0
CHEMBL1833917,2011.0
CHEMBL4706622,2021.0
CHEMBL1139619,2005.0
CHEMBL4371057,2019.0
CHEMBL4184318,2018.0
CHEMBL3739421,2015.0
CHEMBL4382273,2018.0
CHEMBL3739389,2015.0
CHEMBL4334542,2020.0
CHEMBL4834407,2021.0
CHEMBL2311413,2013.0
CHEMBL2331413,2013.0
CHEMBL2150944,2012.0
CHEMBL4680146,2020.0
CHEMBL4043245,2017.0
CHEMBL4828745,2021.0
CHEMBL4699524,2020.0
CHEMBL3616374,2015.0
CHEMBL4145525,2018.0
CHEMBL4002646,2017.0
CHEMBL3758173,2016.0
CHEMBL3632470,2015.0
CHEMBL4837227,2021.0
CHEMBL1135339,2002.0
CHEMBL3399940,2015.0
CHEMBL3400138,2015.0
CHEMBL3400128,2015.0
CHEMBL3596171,2015.0
CHEMBL4837244,2021.0
CHEMBL4808251,2021.0
CHEMBL2346658,2013.0
CHEMBL3351532,2014.0
CHEMBL3091350,2013.0
CHEMBL3813603,2016.0
CHEMBL5370559,2023.0
CHEMBL5252581,2023.0
CHEMBL5244209,2018.0
CHEMBL4715768,2016.0
CHEMBL3102749,2014.0
CHEMBL5241067,2021.0
CHEMBL1152574,2009.0
CHEMBL4325848,2019.0
CHEMBL3414562,2015.0
CHEMBL1141794,2005.0
CHEMBL3351941,2014.0
CHEMBL1156268,2010.0
CHEMBL4602686,2020.0
CHEMBL1156965,2010.0
CHEMBL2440053,2013.0
CHEMBL2417386,2013.0
CHEMBL1773055,2011.0
CHEMBL4138134,2018.0
CHEMBL4130585,2017.0
CHEMBL1833904,2011.0
CHEMBL3124784,2014.0
CHEMBL3425465,2015.0
CHEMBL1153737,2010.0
CHEMBL1212900,2010.0
CHEMBL5335864,2024.0
CHEMBL1140918,2009.0
CHEMBL1212869,2010.0
CHEMBL5120766,2022.0
CHEMBL1212832,2010.0
CHEMBL5149966,2021.0
CHEMBL1250425,2010.0
CHEMBL1155965,2009.0
CHEMBL1275325,2010.0
CHEMBL5360535,2023.0
CHEMBL4219166,2018.0
CHEMBL1157686,2010.0
CHEMBL4814004,2021.0
CHEMBL4002579,2016.0
CHEMBL3751754,2016.0
CHEMBL2434856,2013.0
CHEMBL1949593,2012.0
CHEMBL5137019,2022.0
CHEMBL1649477,2009.0
CHEMBL4038265,2017.0
CHEMBL4000152,2016.0
CHEMBL1649414,2011.0
CHEMBL2424603,2013.0
CHEMBL4130608,2018.0
CHEMBL3351756,2014.0
CHEMBL1128338,1995.0
CHEMBL3352664,2014.0
CHEMBL1914285,2011.0
CHEMBL1926620,2011.0
CHEMBL3352680,2014.0
CHEMBL3297698,2014.0
CHEMBL1944616,2012.0
CHEMBL1671701,2010.0
CHEMBL1124338,1989.0
CHEMBL1157804,2010.0
CHEMBL1177686,2010.0
CHEMBL2429746,2013.0
CHEMBL1221362,2010.0
CHEMBL3259525,2014.0
CHEMBL4000213,2017.0
CHEMBL3797121,2016.0
CHEMBL4007504,2017.0
CHEMBL1126954,1993.0
CHEMBL3132801,2013.0
CHEMBL1137739,2009.0
CHEMBL1151311,1998.0
CHEMBL3112435,2014.0
CHEMBL3120101,2014.0
CHEMBL3769361,2016.0
CHEMBL5244275,2021.0
CHEMBL1133601,2000.0
CHEMBL4004888,2017.0
CHEMBL4411264,2018.0
CHEMBL1140714,2008.0
CHEMBL4038305,2017.0
CHEMBL3808317,2016.0
CHEMBL1146034,2006.0
CHEMBL3396954,2015.0
CHEMBL3826907,2016.0
CHEMBL4004859,2017.0
CHEMBL2375221,2013.0
CHEMBL1153871,2009.0
CHEMBL4325926,2018.0
CHEMBL1212858,2010.0
CHEMBL4359849,2019.0
CHEMBL1914447,2011.0
CHEMBL4414627,2019.0
CHEMBL4334514,2019.0
CHEMBL3875207,2017.0
CHEMBL1141306,2007.0
CHEMBL1137305,2006.0
CHEMBL1914412,2011.0
CHEMBL1139741,2006.0
CHEMBL1212893,2010.0
CHEMBL1212855,2010.0
CHEMBL1212856,2010.0
CHEMBL4043138,2017.0
CHEMBL4118288,2018.0
CHEMBL3585310,2014.0
CHEMBL1137637,2007.0
CHEMBL2390834,2013.0
CHEMBL4038349,2017.0
CHEMBL1154268,2009.0
CHEMBL2407070,2013.0
CHEMBL1152746,2009.0
CHEMBL2057124,2012.0
CHEMBL1158069,2006.0
CHEMBL4732218,2021.0
CHEMBL4732220,2021.0
CHEMBL1136428,2003.0
CHEMBL3817764,2016.0
CHEMBL3826916,2016.0
CHEMBL3822443,2016.0
CHEMBL4190368,2017.0
CHEMBL4011644,2017.0
CHEMBL3867429,2016.0
CHEMBL3286184,2014.0
CHEMBL4229360,2018.0
CHEMBL5257025,2016.0
CHEMBL1141590,2008.0
CHEMBL3611995,2015.0
CHEMBL1828514,2011.0
CHEMBL4000146,2015.0
CHEMBL1155781,2008.0
CHEMBL1150413,2008.0
CHEMBL1152663,2009.0
CHEMBL1155550,2010.0
CHEMBL4715789,2016.0
CHEMBL1158751,2005.0
CHEMBL1136884,2009.0
CHEMBL1153885,2009.0
CHEMBL1152965,2009.0
CHEMBL4196051,2018.0
CHEMBL4715911,2021.0
CHEMBL1158073,2006.0
CHEMBL1649447,2009.0
CHEMBL4118195,2018.0
CHEMBL1154458,2008.0
CHEMBL1154490,2008.0
CHEMBL4130371,2017.0
CHEMBL4118268,2018.0
CHEMBL4004786,2017.0
CHEMBL1131602,1998.0
CHEMBL4177615,2017.0
CHEMBL4004799,2017.0
CHEMBL4627294,2020.0
CHEMBL1795212,2011.0
CHEMBL4130616,2018.0
CHEMBL1800038,2011.0
CHEMBL3217417,2012.0
CHEMBL5108065,2022.0
CHEMBL3124919,2014.0
CHEMBL3588788,2015.0
CHEMBL1142098,2007.0
CHEMBL1152411,2009.0
CHEMBL1777756,2010.0
CHEMBL1773068,2011.0
CHEMBL1772969,2011.0
CHEMBL1143054,2007.0
CHEMBL1125960,1991.0
CHEMBL1667763,2011.0
CHEMBL1667784,2011.0
CHEMBL1667740,2011.0
CHEMBL1777683,2011.0
CHEMBL1782052,2009.0
CHEMBL3593187,2015.0
CHEMBL1777802,2010.0
CHEMBL3596109,2015.0
CHEMBL1770125,2011.0
CHEMBL1821638,2011.0
CHEMBL3600329,2015.0
CHEMBL3600290,2015.0
CHEMBL2331223,2013.0
CHEMBL2311439,2013.0
CHEMBL1133466,2000.0
CHEMBL1128802,1995.0
CHEMBL1817607,2011.0
CHEMBL2331079,2013.0
CHEMBL1149086,2004.0
CHEMBL4052727,2017.0
CHEMBL1128975,1996.0
CHEMBL1817565,2011.0
CHEMBL4177705,2018.0
CHEMBL1139892,2007.0
CHEMBL1938395,2012.0
CHEMBL1127823,1994.0
CHEMBL1156683,2008.0
CHEMBL1146140,2006.0
CHEMBL4699593,2020.0
CHEMBL1156663,2008.0
CHEMBL3877253,2017.0
CHEMBL5143708,2022.0
CHEMBL1153608,2009.0
CHEMBL4152321,2018.0
CHEMBL2203201,2012.0
CHEMBL1140092,2008.0
CHEMBL2203282,2012.0
CHEMBL1135984,2002.0
CHEMBL3860063,2016.0
CHEMBL4196192,2018.0
CHEMBL3763022,2016.0
CHEMBL3758142,2016.0
CHEMBL1154273,2009.0
CHEMBL1153338,2009.0
CHEMBL3758104,2016.0
CHEMBL2331420,2013.0
CHEMBL1153303,2009.0
CHEMBL2311357,2013.0
CHEMBL3600328,2015.0
CHEMBL4219245,2018.0
CHEMBL1141703,2008.0
CHEMBL4699462,2020.0
CHEMBL1157876,2010.0
CHEMBL4715722,2016.0
CHEMBL1156312,2010.0
CHEMBL1157913,2010.0
CHEMBL4808169,2021.0
CHEMBL1667753,2011.0
CHEMBL5053494,2021.0
CHEMBL1159310,2002.0
CHEMBL4052596,2017.0
CHEMBL2385001,2013.0
CHEMBL4411312,2019.0
CHEMBL2434909,2013.0
CHEMBL4145548,2018.0
CHEMBL3132842,2014.0
CHEMBL2390934,2013.0
CHEMBL4138156,2018.0
CHEMBL3217563,2011.0
CHEMBL1773006,2011.0
CHEMBL4334549,2020.0
CHEMBL4334450,2019.0
CHEMBL4354848,2020.0
CHEMBL4350969,2019.0
CHEMBL4382238,2019.0
CHEMBL1687707,2008.0
CHEMBL4354841,2020.0
CHEMBL4346733,2019.0
CHEMBL3785004,2016.0
CHEMBL1155029,2008.0
CHEMBL1142472,2008.0
CHEMBL1828585,2011.0
CHEMBL1833920,2011.0
CHEMBL3576795,2015.0
CHEMBL4732090,2021.0
CHEMBL1641498,2011.0
CHEMBL1157528,2008.0
CHEMBL3600384,2015.0
CHEMBL1156407,2002.0
CHEMBL3351583,2014.0
CHEMBL3813626,2016.0
CHEMBL3603782,2015.0
CHEMBL2169878,2012.0
CHEMBL3734670,2015.0
CHEMBL3132816,2013.0
CHEMBL3217596,2012.0
CHEMBL4425090,2016.0
CHEMBL4017462,2017.0
CHEMBL3994624,2017.0
CHEMBL1153118,2010.0
CHEMBL5325415,2023.0
CHEMBL5385862,2023.0
CHEMBL3862008,2016.0
CHEMBL4004787,2017.0
CHEMBL3580576,2015.0
CHEMBL1152993,2008.0
CHEMBL4138249,2018.0
CHEMBL5154649,2022.0
CHEMBL3124773,2014.0
CHEMBL5260825,2018.0
CHEMBL4177574,2017.0
CHEMBL2040808,2012.0
CHEMBL1944576,2012.0
CHEMBL4725496,2020.0
CHEMBL5257034,2016.0
CHEMBL2396601,2013.0
CHEMBL1667840,2011.0
CHEMBL1671669,2009.0
CHEMBL4819108,2021.0
CHEMBL5034012,2021.0
CHEMBL3758159,2016.0
CHEMBL3865826,2016.0
CHEMBL3588832,2014.0
CHEMBL3580590,2015.0
CHEMBL3580633,2015.0
CHEMBL3580552,2015.0
CHEMBL3992507,2017.0
CHEMBL4706683,2021.0
